,dT,Res ra,Res dec,Res az,Res alt,Base Ra,Base Dec,Base Az,Base Alt,Snakes,UTC
432,94,0.5740092732139601,0.555737042074611,-104.67043546905188,870.9146702119824,296.48407246300405,-52.19218319994374,135.00959609597888,35.07113483892883,14,2023-03-17 08:08:19
433,115,-1934.7549726970328,-12538.837308359092,15178.444416543834,3012.796626700296,296.48407246300405,-52.19218319994374,135.00959609597888,35.07113483892883,14,2023-03-17 08:08:40
434,124,-1934.9535055258912,-12539.07148511961,15174.757465843482,3088.078090094976,296.48407246300405,-52.19218319994374,135.00959609597888,35.07113483892883,14,2023-03-17 08:08:49
435,133,-1935.5949896342963,-12538.021598761254,15169.517284991707,3163.641812087283,296.48407246300405,-52.19218319994374,135.00959609597888,35.07113483892883,14,2023-03-17 08:08:58
436,154,0.6438888831780787,0.4832179223029698,-167.03994706531375,1416.468339029194,296.48407246300405,-52.19218319994374,135.00959609597888,35.07113483892883,14,2023-03-17 08:09:19
437,163,0.3271896360502069,0.8389407611872457,-176.7110931655111,1498.6872548886054,296.48407246300405,-52.19218319994374,135.00959609597888,35.07113483892883,14,2023-03-17 08:09:28
438,172,0.1375344111238519,0.7588479605203702,-185.73414568511453,1580.3326902556619,296.48407246300405,-52.19218319994374,135.00959609597888,35.07113483892883,14,2023-03-17 08:09:37
439,193,-20466.881854329677,1047.3173024825742,-2310.871481777849,14290.774034798254,296.48407246300405,-52.19218319994374,135.00959609597888,35.07113483892883,14,2023-03-17 08:09:58
440,202,-20466.97405394036,1047.420719683214,-2312.8233635203173,14373.332635794466,296.48407246300405,-52.19218319994374,135.00959609597888,35.07113483892883,14,2023-03-17 08:10:07
441,211,-20467.041499949868,1047.408805123635,-2314.572013623831,14455.80860362276,296.48407246300405,-52.19218319994374,135.00959609597888,35.07113483892883,14,2023-03-17 08:10:16
442,232,0.5453280669144078,0.7939573219033491,-246.46197494212174,2134.476158494618,296.48407246300405,-52.19218319994374,135.00959609597888,35.07113483892883,14,2023-03-17 08:10:37
443,241,0.5994756727886852,0.9635011221632794,-255.40172145354063,2215.850281623284,296.48407246300405,-52.19218319994374,135.00959609597888,35.07113483892883,14,2023-03-17 08:10:46
